County,Acres,Population,Acres/Capita,Pets,Biking,Boat Launch,Boat Rentals,Camping,Canoe/Kayak,Disc Golf,Equestrian Trails,Fishing,Food,Grills,Hiking,Hunting,Nature Center,Pavillions,Playground,Playing Fields,Showers,Sledding,Snowmobiling,Snowshoeing/X-Country Skiing,Stand-up Paddle Boarding,Surfing/Windsurfing,Swimming Beach,Swimming Pool,Visitor Center,Waterfalls,BingeDrink,BuprenorphineRaw,Buprenorphine,Cardiovascular,CardioHospitalRaw,CardioHospital,Cigarette,Depression,DiabetesAdult,ObeseAdult,ObeseChild,OpiodOverdoseRaw,OpiodOverdose,PCPAdult,PhysicalLeisure,SuicideRaw,Suicide
Albany,2610,305506.00,0.008318911,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,19.2,"1,496",0.00490,6.3,"4,361",0.01,11.6,19.7,9,26.9,16.3,49,0.000160,86.1,81.1,106,0.00035
Allegany,0,46091.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,292,0.00634,6.9,586,0.01,17.9,24.1,9.5,34.5,12.4,2,0.000043,85.9,76.1,21,0.00046
Bronx,25,1418207.00,1.75E-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,14.6,"2,980",0.00210,6.6,"24,894",0.02,12.8,16.2,16.4,30.5,24.8,342,0.000241,85.2,69.6,219,0.00015
Broome,2522,190488.00,0.012786453,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,17.9,"1,677",0.00880,6.2,"3,239",0.02,18,23.2,8.6,30.7,17.9,35,0.000184,82,80.2,64,0.00034
Cattaraugus,66402,76117.00,0.868840447,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,17,643,0.00845,9.1,"1,135",0.01,20.7,20.6,10.9,38.2,20.3,10,0.000131,85.4,68.6,42,0.00055
Cayuga,2082,76576.00,0.02743806,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,17.1,366,0.00478,7.9,"1,227",0.02,18.3,19.3,9.2,33.9,21.4,8,0.000104,84,73.1,24,0.00031
Chautauqua,759,126903.00,0.005985474,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,22,"1,176",0.00927,6.9,"1,384",0.01,20.9,22.6,10.1,33.4,19.8,23,0.000181,85,75.7,51,0.00040
Chemung,2564,83456.00,0.030874827,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,12.2,567,0.00679,8.2,"1,446",0.02,22.6,24.4,9,33.9,21.2,15,0.000180,73.2,71.2,33,0.00040
Chenango,2352,47207.00,0.05054043,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,16,434,0.00919,7.6,846,0.02,15.9,19,10.1,38.1,23,4,0.000085,84,74,20,0.00042
Clinton,1806,80485.00,0.022689582,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,19.9,"1,023",0.01271,8,"1,128",0.01,19.9,21.6,10.5,36.7,21.5,2,0.000025,77.5,70.9,26,0.00032
Columbia,7856,59461.00,0.12716501,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,21.1,426,0.00716,4.8,981,0.02,16.2,15.2,4.4,24.3,17.3,9,0.000151,85.5,79.9,28,0.00047
Cortland,0,47581.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,303,0.00637,6.1,730,0.02,19.8,25.9,8.7,34.4,20.8,9,0.000189,78.8,74.9,16,0.00034
Delaware,3548,44135.00,0.079949525,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,23.5,374,0.00847,7.8,820,0.02,16.8,19.2,6.7,35.9,20.3,3,0.000068,82.2,72.9,21,0.00048
Dutchess,9696,294218.00,0.032634158,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,20.7,"1,422",0.00483,7.2,"4,182",0.01,10.8,15.6,9.5,26.6,17.6,65,0.000221,83,80.2,123,0.00042
Erie,3529,918702.00,0.003712068,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,20.2,"6,408",0.00698,7.3,"15,085",0.02,16.3,20.1,9.4,30,16,143,0.000156,71.5,79.2,315,0.00034
Essex,0,36885.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,413,0.01120,5.3,410,0.01,16.4,17.5,14.3,30.6,21.7,1,0.000027,70.7,73.7,10,0.00027
Franklin,0,50022.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,579,0.01157,7.7,605,0.01,20.6,18.5,11.1,44.4,23.6,3,0.000060,76.5,76.2,19,0.00038
Fulton,0,53383.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,516,0.00967,8,"1,064",0.02,23.3,23.9,8.9,38.3,18.3,6,0.000112,85.8,69.4,24,0.00045
Genesee,1845,57280.00,0.031891172,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,16.3,526,0.00918,10.9,994,0.02,20.5,22.4,10.9,28.8,19,12,0.000209,87.8,71.8,15,0.00026
Greene,4816,47188.00,0.099301017,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,16.1,485,0.01028,8.8,879,0.02,18.5,19.5,5.5,34.5,23,7,0.000148,83.8,74.3,30,0.00064
Hamilton,0,4416.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,10,0.00226,8.2,89,0.02,12.1,17.3,7.5,27.1,21.9,0,0.000000,76.3,73.8,0,0.00000
